Ruolo,Squadra,Nome,Kap.,8 sq. / 350,10 sq. / 350,8 sq. / 500,10 sq. / 500,M.V.,Pres.
C,Cagliari,FAZZINIJacopo,11,11.94,12.64,12.52,15.11,"5,87",12
A,Estero,GIMENEZSantiago2025/2026,11,36.15,42.73,27.01,39.80,"5,50",15
D,Fiorentina,JIMENEZAlex,11,12.24,12.60,12.46,15.28,"5,50",1
A,Frosinone,KVERNADZEGiorgi,11,12.09,12.50,11.28,14.18,,
D,Juventus,LUCUMIJhon,11,12.27,13.31,12.77,15.56,"5,87",28
C,Sassuolo,MATICNemanja,11,11.31,12.28,,11.17,"5,95",34
D,Cagliari,MINAYerry,11,11.67,12.49,11.16,12.76,"6,00",26
C,Bologna,POBEGATommaso,11,,,,11.17,"5,82",23
C,Lazio,ROVELLANicolo,11,,12.28,11.14,13.02,"5,72",11
A,Venezia,RRAHMANIAlbion,11,,13.21,,10.88,,
C,Juventus,SARRPape Matar,11,11.53,16.66,11.62,15.67,,
P,Estero,SUZUKIZion2025/2026,11,2.05,2.26,6.70,5.53,"6,02",20
A,Monza,VARELAGustavo Miguel Pereira De Sousa,11,13.17,13.86,12.72,16.10,,
C,Juventus,ZHEGROVAEdon,11,,,10.68,,"5,95",12
A,Como,ADDAIJayden2025/2026,10,11.95,13.07,14.65,15.83,"5,95",12
A,Venezia,ADORANTEAndrea,10,,11.30,,16.34,,
D,Napoli,BADIASHILEBenoit Mukinayi,10,10.54,11.60,10.09,12.32,,
C,Venezia,BASICToma,10,,11.72,,13.72,"6,08",23
P,Genoa,BIJLOWJustin,10,11.43,14.07,10.20,14.41,"6,06",16
C,Torino,BRAGANCADaniel SantosNuovo,10,,,,,,
C,Inter,CARLOS AUGUSTO-,10,11.15,11.29,10.31,12.44,"6,12",28
D,Juventus,CELIKZeki,10,10.86,11.87,11.44,13.63,"6,17",32
D,Torino,COCOSaul,10,11.03,11.20,10.20,12.63,"5,84",35
C,Lecce,COULIBALYLassana,10,10.81,13.44,,12.72,"6,04",33
D,Como,COUTOYan Bueno,10,12.12,15.01,11.37,15.54,,
C,Roma,DE ROONMarten,10,12.72,15.87,10.39,12.68,"5,97",34
D,Parma,DEL PRATOEnrico,10,11.29,11.42,10.80,13.15,"5,91",35
D,Fiorentina,DRAGUSINRadu,10,10.89,12.22,10.62,13.76,,
C,Genoa,ELLERTSSONMikael,10,,11.67,,10.60,"5,84",35
C,Estero,FOFANAYoussouf2025/2026,10,19.89,21.69,15.41,23.37,"5,84",33
C,Lecce,GANDELMANOmri2025/2026,10,,17.79,14.88,19.11,"5,96",16
A,Napoli,GIOVANESantana do Nascimento,10,,10.62,,,"6,00",31
A,Fiorentina,GNONTODegnand Wilfried,10,,15.55,,12.72,,
A,Juventus,GONZALEZNicolas,10,12.63,20.37,19.04,27.55,,
D,Bologna,HOLMEmil,10,11.57,14.23,10.17,12.78,"6,09",16
D,Torino,ISMAJLIArdian,10,11.27,14.03,9.77,12.41,"5,91",24
C,Milan,JASHARIArdon,10,10.68,11.07,10.28,12.75,"5,70",12
C,Parma,KEITAMandela,10,,11.41,10.44,11.60,"6,01",36
D,Roma,KOULIERAKISKonstantinos,10,11.20,11.33,10.30,12.97,,
C,Como,LIBERALIMattia,10,11.00,12.00,10.83,13.67,,
